Facility_name,Million_gallons_per_day_flow,GHGI_emissions_mol_per_s,Moore_Emissions_mol_per_s,longitude,latitude,Source
"Ashland, (T) Hamlet WWTP & Sewers",0.26,0.004015954926050889,0.0017143054526182913,-74.34775,42.297111,Clean Watershed Needs Survey
Athens (V) Main STP,0.3,0.004633794145443334,0.0020587242847468178,-73.8055,42.262833,Clean Watershed Needs Survey
Athol Sewerage Collection System and WWTF,1.75,0.027030465848419446,0.0196556250263897,-72.242982,42.586234,Clean Watershed Needs Survey
Attica (V) WWTP,1.4,0.021624372678735557,0.014774179997387261,-78.2785,42.8663,Clean Watershed Needs Survey
"Auburn, (C) WWTP & Collection",9.5,0.14673681460570553,0.17116671464111727,-76.5936,42.9401,Clean Watershed Needs Survey
Aurora (V) WWTP,0.27,0.004170414730899,0.0017991093643825666,-76.7025,42.7375,Clean Watershed Needs Survey
Avon (V) WWTP,0.5,0.007722990242405556,0.003957529462697384,-77.755226,42.920255,Clean Watershed Needs Survey
BAINBRIDGE - V STP,,,,-75.4853,42.29351,Discharge Monitoring Reports
BALDWINSVILLE SENECA KNOLLS,3.58333333333333,0.04647367748989262,0.04916870427168829,-76.300028,43.140861,Discharge Monitoring Reports
BALLY BORO STP,0.2,0.0030891960969622223,0.0012254986626968037,-75.5804,40.3999,Clean Watershed Needs Survey
BALLY STP,0.242733333333333,0.003148105297501376,0.001570026091258352,-75.58037,40.39986,Discharge Monitoring Reports
BANGOR BORO STP,1.55,0.023941269751457224,0.01682891407069742,-75.2036,40.8543,Clean Watershed Needs Survey
BANGOR WASTEWATER TREATMENT  P,1.6325,0.021172542837837146,0.017983298218156075,-75.203577,40.854257,Discharge Monitoring Reports
BARTON BUSINESS PARK WWTP,0.0064166666666666,8.322030620283019e-05,1.5041671702389504e-05,-78.851398,39.557251,Discharge Monitoring Reports
BATAVIA (C) STP,4.178,0.05418614638681996,0.059840956103742196,-78.20441,42.99336,Discharge Monitoring Reports
BATH  WWTP,,,,-77.30812,42.33187,Discharge Monitoring Reports
BATH BORO AUTH,0.4195,0.005440662615909759,0.0031614602472301166,-75.394058,40.722227,Discharge Monitoring Reports
BAY PARK SEWAGE TREATMENT PLANT,53.8083333333333,0.6978617105865971,1.5737791347393977,-73.663111,40.632278,Discharge Monitoring Reports
BAYSHORE REGIONAL SEWER AUTHORITY,8.0955,0.10499376449844447,0.1394854756335143,-74.191057,40.4403,Discharge Monitoring Reports
BCI MUNICIPAL AUTHORITY STP,0.197333333333333,0.00255929461153641,0.0012046328882863745,-78.54624,40.77592,Discharge Monitoring Reports
BCPSSD - KIMBERLY HGTS WWTP,0.021,0.00032436559018103335,6.855746200663616e-05,-77.8805,39.5654,Clean Watershed Needs Survey
BEACON FALLS WATER POLLUTION CONTROL FAC,0.400041666666667,0.005188299739307672,0.002975079383471716,-73.071061,41.431611,Discharge Monitoring Reports
BEACON FALLS WPCF,0.4,0.006178392193924445,0.0029746829494535767,-73.0648,41.4426,Clean Watershed Needs Survey
BEAR CRK WATERSHED AUTH - FAIRVIEW STP,0.0208416666666667,0.0002703038776795854,6.789685301962828e-05,-79.715698,41.026931,Discharge Monitoring Reports
BEAUTYLINE STP,0.0,0.0,0.0,-78.75243,40.30133,Discharge Monitoring Reports
BEAVER MEADOWS MUNICIPAL AUTHORITY,0.0908333333333333,0.0011780536852089066,0.00044644231593759615,-75.9008,40.9301,Discharge Monitoring Reports
BEAVERTOWN MUN AUTH WWTP,0.124,0.001608205397789774,0.0006648223640158839,-77.17624,40.75467,Discharge Monitoring Reports
BEDFORD BORO STP,0.5,0.007722990242405556,0.003957529462697384,-78.4861,40.0179,Clean Watershed Needs Survey
